Author,Year,Title,Grau,Course,Pages,Institution,City,Link
"Teles, Laurita Istefani Da Silva",2021,Localização  Em Caminhadas Quânticas Com Um Único Defeito De Rede,Mestrado, Física,50,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10860241
"Engster, Joao Pedro",2021,Transferência De Estados Em Grafos Via Caminhadas Quânticas Contínuas No Tempo,Mestrado, Física,58,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11136121
"Cerutti, Lorena Rosa",2023,Caminhadas Quânticas Desordenadas Com Barreira Absorvedora,Mestrado, Física,96,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13824413
"Andrade, Joacir Soares De",2023,Aplicações Da Função Wq De Lambert-Tsallis E Da Disentropia Em Distribuição Quântica De Chaves,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14426140
"Castro, Giselle Silva",2023,Distribuição Quântica De Chaves: Detector De Fótons Remotamente Controlado Por Luz E Detecção De Espionagem Usando A Disentropia,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13754185
"Luiz, Bruna Schwarz Nunes",2021,Um Estudo Exploratório Envolvendo Criptografia E Noções De Computação Quântica,Mestrado Profissional, Matemática Em Rede Nacional,105,Universidade Federal De São Carlos,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10033023
"Netto, Victor Goncalves",2020,Emaranhamento Genuíno Nas Variáveis Espaciais De Sistemas Tripartidos E Quadripartidos De Fótons,Mestrado, Física,69,Universidade Federal De Goiás,Goiânia,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10629681
"Alves, Warley Marcos Santos",2023,Reconstrução Pticográfica De Estados De Múltiplos Qubits Em Um Computador Quântico,Mestrado, Física,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14447224
"Malavazi, Andre Hernandes Alves",2022,On The Energetic Analysis Of Autonomous Quantum  Systems,Doutorado, Física,130,Universidade De São Paulo (São Carlos),São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11619836
"Cherubim, Cleverson Francisco",2020,Out-Of-Equilibrium Thermodynamics And Non-Thermal Heat Engines,Doutorado, Física,97,Universidade De São Paulo (São Carlos),São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9282478
"Silva, Josie Pereira Da",2023,Projeto E Fabricação De Uma Sonda De Rmn Com Microressonador Planar Integrado À Um Dispositivo De Microfluídica Para Amostras Com Volumes Nanométricos,Mestrado Profissional, Física,undefined,Centro Brasileiro De Pesquisas Físicas,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13936056
"Lugao, Pedro Henrique Gasparetto",2023,Análise Assintótica De Passeios Quânticos Para Algoritmos De Busca Com Múltiplos Marcados,Doutorado, Modelagem Computacional,62,Laboratório Nacional De Computação Ciêntífica,Petrópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13991307
"Lino, Jessica Boreli Dos Reis",2021,Enhancing Nmr Quantum Computation By Optimizing Spectroscopic Parameters Of Potential Qubit Molecules,Doutorado, Agroquímica,103,Universidade Federal De Lavras,Lavras,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11201905
"Queiroz, Lilia Ferreira Souza",2020,Contribuições Do Pluralismo De Paul Feyerabend Para O Entendimento Dos Erros Científicos,Mestrado," Ensino, Filosofia E História Das Ciências",93,Universidade Federal Da Bahia,Salvador,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=8629087
"Silva, Bruno Augusto Veloso Nunes",2022,Quantum Transistors With Superconducting Qubits,Mestrado, Física,117,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11732684
"Carvalho, Jonathan Henrique Andrade De",2022,Parametrized Constant-Depth Quantum Neuron,Mestrado, Ciências Da Computação,61,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11661288
"Neves, Juliana Ramos",2022,Hamiltonian Design Of Quantum Gates,Mestrado, Ciências Da Computação,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12166163
"Silva, George Barbosa Da",2021,A Função Wq De Lambert-Tsallis E Suas Aplicações,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11084267
"Martinelli, Tiago",2023,Causal Modeling In High-Order Scenarios: Unfolding Mechanisms By Moving Across Scales,Doutorado, Física,83,Universidade De São Paulo (São Carlos),São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13717182
