Author,Year,Title,Grau,Course,Pages,Institution,City,Link
"Pires, Otto Menegasso",2021,A Quantum Heuristic For The School Timetabling Problem,Mestrado, Ciências Da Computação,47,Universidade Federal De Santa Catarina,Florianópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11502426
"Morazotti, Nicolas Andre Da Costa",2023,Redes Neurais No Uso De Teoria De Controle Para A Síntese De Transformações Unitárias Em Processamento Quântico Em Contexto Ruidoso,Doutorado, Física,118,Universidade De São Paulo (São Carlos),São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13910593
"Oliveira, Estevao Vilas Boas De",2022,Método De Dinâmicas Efetivas Aplicado Na Análise Da Interação Qubit-Qubit Em Dispositivos Supercondutores: A Interação Qubit-Qubit No Contexto Da Computação Quântica,Mestrado, Física,112,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11732863
"Leal, Daivid Vasconcelos",2022,Comitê De Redes Neurais Quânticas,Mestrado, Informática Aplicada,56,Universidade Federal Rural De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13450740
"Ferreira, Rodrigo Pires",2023,Variational Quantum Algorithm For Orbit Propagation With Gravitational Perturbations And Atmospheric Drag,Mestrado, Física,101,Nstituto Tecnológico De Aeronáutica,São José Dos Campos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13791097
"Carvalho, Telma Fatima Clarita De",2022,"""Classificação Da Não-Separabilidade De Modos Spin-Órbita Com Aprendizado De Máquina""",Mestrado, Física,81,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11685855
"Ganascini, Thiago",2023,Adaptação Dissipativa Quântica Em Um Sistema Com Dois Fótons,Mestrado, Física,undefined,Universidade Federal De Mato Grosso,Cuiabá,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13760461
"Pinto, Marcos Roberto Dos Passos",2022,Estimação De Erros Da Aproximação Adiabática Da Mecânica Quântica,Doutorado, Física,119,Universidade Federal Do Rio De Janeiro,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13509152
"Dourado, Sinara Santos",2022,Eletrodinâmica Quântica De Guias De Onda Com Aplicações Na Termometria Quântica,Mestrado, Física,89,Universidade Federal De Mato Grosso,Cuiabá,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12790814
"Lamego, Vinicius De Souza",2020,“Proposta De Preparação E Caracterização De Estados X Utilizando Modos Spin-Órbita De Um Feixe Laser”,Mestrado, Física,90,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9823569
